ref_area,measure,year,value
SVN,PR_INC_DISP,2022,7.8676
SVN,PR_INC_DISP,2021,7.5635
SVN,PR_INC_DISP,2020,7.0454
SVN,PR_INC_MRKT,2022,26.2892
SVN,PR_INC_MRKT,2021,25.786
SVK,PR_INC_MRKT,2010,28.2462
SVK,PR_INC_MRKT,2023,30.9319
SVK,PR_INC_MRKT,2022,25.6788
SVK,PR_INC_MRKT,2021,24.5917
SVK,PR_INC_MRKT,2020,25.3952
SVK,PR_INC_MRKT,2019,23.8884
SVK,PR_INC_MRKT,2018,23.3318
SVK,PR_INC_MRKT,2017,23.3863
SVK,PR_INC_MRKT,2016,24.6892
SVK,PR_INC_MRKT,2015,24.3207
SVK,PR_INC_DISP,2019,7.8425
SVK,PR_INC_DISP,2018,8.3141
SVK,PR_INC_DISP,2017,7.3039
SVK,PR_INC_DISP,2016,8.4513
SVK,PR_INC_DISP,2015,8.5038
SVK,PR_INC_DISP,2014,8.8061
SVK,PR_INC_DISP,2013,8.4918
SVK,PR_INC_DISP,2012,8.4595
SVK,PR_INC_DISP,2011,8.1854
SVK,PR_INC_DISP,2010,8.0351
SVK,PR_INC_MRKT,2014,23.9854
SVK,PR_INC_DISP,2023,8.3076
SVK,PR_INC_DISP,2022,9.3976
SVK,PR_INC_DISP,2021,7.9154
SVK,PR_INC_DISP,2020,9.4392
SVK,PR_INC_MRKT,2013,26.0593
SVK,PR_INC_MRKT,2012,26.8087
PRT,PR_INC_MRKT,2019,30.6968
PRT,PR_INC_MRKT,2018,31.247
PRT,PR_INC_MRKT,2017,30.9979
PRT,PR_INC_MRKT,2016,32.8639
PRT,PR_INC_MRKT,2015,33.7265
PRT,PR_INC_MRKT,2014,34.8435
PRT,PR_INC_MRKT,2013,36.2848
PRT,PR_INC_MRKT,2012,34.9514
PRT,PR_INC_MRKT,2011,32.3063
PRT,PR_INC_MRKT,2010,29.2858
PRT,PR_INC_DISP,2019,10.5828
PRT,PR_INC_DISP,2018,10.3787
PRT,PR_INC_DISP,2017,10.6747
PRT,PR_INC_DISP,2016,12.4591
PRT,PR_INC_DISP,2015,12.5496
PRT,PR_INC_DISP,2014,13.497
PRT,PR_INC_DISP,2013,13.5046
PRT,PR_INC_DISP,2012,12.9538
PRT,PR_INC_DISP,2011,11.4065
IRL,PR_INC_MRKT,2019,31.1056
IRL,PR_INC_MRKT,2018,33.2611
